event,date,division,rank,name,name_short,country,medal,date_raw,_page
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,5,KHUSHVAKTOVA MUKHLISA,KHUSHVAKTOVA MUKHLISA,UZB,,2022-12-01,116
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,5,QUIQUINTE MILAGROS ELIZABETH,QUIQUINTE MILAGROS ELIZABETH,ARG,,2022-12-01,116
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,5,BARDAUSKAS JAYNE,BARDAUSKAS JAYNE,ENG,,2022-12-01,116
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,1,ALVAREZ_NOA_RONNY,ALVAREZ NOA RONNY,CUB,Gold,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,2,CARUSO PAOLO (ITA),CARUSO PAOLO,ITA,Silver,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,3,KULIEV DZHAMAL (UKR),KULIEV DZHAMAL,UKR,Bronze,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,3,OJO NATHAN_OSARO,OJO NATHAN OSARO,IRL,Bronze,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,5,BORUCKI PATRYK (POL),BORUCKI PATRYK,POL,,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,5,MUKATAYEV TEMIRLAN (KAZ),MUKATAYEV TEMIRLAN,KAZ,,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,5,MOHIT MOHIT (IND),MOHIT MOHIT,IND,,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Cruiser (80-86kg) Youth Men,5,HAMZA TAMIM_MOHAMED_NAEIM_IBRAHIM (EGY),HAMZA TAMIM MOHAMED NAEIM IBRAHIM,EGY,,2022-12-01,117
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,1,ASADOV BAKHTIYOR,ASADOV BAKHTIYOR,UZB,Gold,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,2,CABRERA URIAS GAEL EZEQUIEL,CABRERA URIAS GAEL EZEQUIEL,MEX,Silver,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,3,PHIPPS CORNELLO_CHADA,PHIPPS CORNELLO_CHADA,USA,Bronze,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,3,MOUFLIH MARWAN,MOUFLIH MARWAN,FRA,Bronze,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,5,SAMGHOULI SOULAIMANE,SAMGHOULI SOULAIMANE,MAR,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,5,MORIWAKI RYUSEI,MORIWAKI RYUSEI,JPN,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,5,ABDURAIMOV AIDER,ABDURAIMOV AIDER,UKR,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Men,5,GLOBENKO KIRILL,GLOBENKO KIRILL,POL,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:04),118
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,1,ASADOV BAKHTIYOR,ASADOV BAKHTIYOR,UZB,Gold,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,2,CABRERA_URÍAS GAEL_EZEQUIEL,CABRERA_URIAS GAEL_EZEQUIEL,MEX,Silver,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,3,PHIPPS CORNELIUS_CHADA,PHIPPS CORNELIUS_CHADA,USA,Bronze,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,3,MOUFLIH MARWAN,MOUFLIH MARWAN,FRA,Bronze,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,5,SAMGHOULI SOULAIMANE,SAMGHOULI SOULAIMANE,MAR,,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,5,MORIWAKI RYUSEI,MORIWAKI RYUSEI,JPN,,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,5,ABDURAMOV AIDER,ABDURAMOV AIDER,UKR,,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Feather (54-57kg) Youth Men,5,GLOBENKO KIRILL,GLOBENKO KIRILL,POL,,,119
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,1,ASADOV BAKHTIYOR,ASADOV BAKHTIYOR,UZB,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,2,CABRERA URIAS GAEL EZEQUIEL,CABRERA URIAS GAEL EZEQUIEL,MEX,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,3,PHIPPS CORNELLO CHADA,PHIPPS CORNELLO CHADA,USA,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,3,MOUFLIH MARWAN,MOUFLIH MARWAN,FRA,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,5,SAMGHOULI SOULAIMANE,SAMGHOULI SOULAIMANE,MAR,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,5,MORIWAKI RYUSEI,MORIWAKI RYUSEI,JPN,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,5,ABDURAIMOV AIDER,ABDURAIMOV AIDER,UKR,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Feather (54-57kg) Youth Men,5,GLOBENKO KIRILL,GLOBENKO KIRILL,POL,,,120
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,1,PEREZ YOSELINE_GUADALUPE,PEREZ YOSELINE_GUADALUPE,USA,Gold,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,2,ARI ASYA,ARI ASYA,GER,Silver,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,3,SUERMENELI SILA,SUERMENELI SILA,TUR,Bronze,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,3,WHITWORTH EMILY,WHITWORTH EMILY,ENG,Bronze,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,5,SARSENBEK ULZHAN,SARSENBEK ULZHAN,KAZ,,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,5,DAHIYA PREETI,DAHIYA PREETI,IND,,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,5,AL_AHMADIEH MARIE-BATHOUL,AL_AHMADIEH MARIE-BATHOUL,CAN,,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Feather (54-57kg) Youth Women,5,LEECH_KAVANAGH REBECCA,LEECH_KAVANAGH REBECCA,IRL,,2022-12-01,121
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,1,BONILLA ARI,BONILLA ARI,MEX,Gold,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,2,MARIN_HERNANDEZ EWART_ANDRES,MARIN_HERNANDEZ EWART_ANDRES,CUB,Silver,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,3,JUNTHASORN WACHARAKORN,JUNTHASORN WACHARAKORN,THA,Bronze,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,3,YAMAGUCHI RUI,YAMAGUCHI RUI,JPN,Bronze,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,5,MANDENGBAM JADUMANI_SINGH,MANDENGBAM JADUMANI_SINGH,IND,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,5,JAPARIDZE DAVIT,JAPARIDZE DAVIT,GEO,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,5,PAWLIK NIKOLAS_MARCEL,PAWLIK NIKOLAS_MARCEL,POL,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Fly (48-51kg) Youth Men,5,ZENELI ARIOL,ZENELI ARIOL,ALB,,(c) sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),122
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,1,BONILLA ARI,BONILLA ARI,MEX,Gold,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,2,MARIN_HERNANDEZ EWART_ANDRES,MARIN_HERNANDEZ EWART_ANDRES,CUB,Silver,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,3,JUNTHASORN WACHARAKORN,JUNTHASORN WACHARAKORN,THA,Bronze,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,3,YAMAGUCHI RUI,YAMAGUCHI RUI,JPN,Bronze,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,5,MANDENGBAM JADUMANI_SINGH,MANDENGBAM JADUMANI_SINGH,IND,,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,5,JAPARIDZE DAVIT,JAPARIDZE DAVIT,GEO,,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,5,PAWLIK NIKOLAS_MARCEL,PAWLIK NIKOLAS_MARCEL,POL,,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (48-51kg) Youth Men,5,ZENELI ARIOL,ZENELI ARIOL,ALB,,,123
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,1,BONILLA ARI,BONILLA ARI,MEX,Gold,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,2,MARIN_HERNANDEZ EWART_ANDRES,MARIN_HERNANDEZ EWART_ANDRES,CUB,Silver,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,3,JUNTHASORN WACHARAKORN,JUNTHASORN WACHARAKORN,THA,Bronze,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,3,YAMAGUCHI RUI,YAMAGUCHI RUI,JPN,Bronze,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,5,MANDENGBAM JADUMANI_SINGH,MANDENGBAM JADUMANI_SINGH,IND,,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,5,JAPARIDZE DAVIT,JAPARIDZE DAVIT,GEO,,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,5,PAWLIK NIKOLAS_MARCEL,PAWLIK NIKOLAS_MARCEL,POL,,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Fly (48-51kg) Youth Men,5,ZENELI ARIOL,ZENELI ARIOL,ALB,,,124
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,1,GHORPADE DEVIKA_SATYAJIT,GHORPADE DEVIKA_SATYAJIT,IND,Gold,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,2,MACKIE LAUREN,MACKIE LAUREN,ENG,Silver,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,3,SUZUKI MIYU,SUZUKI MIYU,JPN,Bronze,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,3,BROWN-EL SA'RAI_AAMEEDAH_JOY,BROWN-EL SA'RAI_AAMEEDAH_JOY,USA,Bronze,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,5,CHOLIDI ELENI,CHOLIDI ELENI,GRE,,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,5,JOVANOVIC DRAGANA,JOVANOVIC DRAGANA,SRB,,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,5,KOVALENKO ANASTASIIA,KOVALENKO ANASTASIIA,UKR,,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Fly (50-52kg) Youth Women,5,SANCHEZ_RODRIGUEZ ALONDRA_YERALDI,SANCHEZ_RODRIGUEZ ALONDRA_YERALDI,MEX,,,125
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,1,D`ARCY CLIONA_ELIZABETH,D`ARCY CLIONA_ELIZABETH,IRL,Gold,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,2,KIRTI KIRTI,KIRTI KIRTI,IND,Silver,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,3,BOCHEN WERONIKA_MAJA,BOCHEN WERONIKA_MAJA,POL,Bronze,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,3,TOKTASSYN ASSEL,TOKTASSYN ASSEL,KAZ,Bronze,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,5,KAMILE AGLINSKAITE,KAMILE AGLINSKAITE,LTU,,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,5,BOTICA MARIA_LIVIA,BOTICA MARIA_LIVIA,ROU,,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,5,GLAESER SARA_LYSIANE,GLAESER SARA_LYSIANE,GER,,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (81+kg) Youth Women,5,LUTSAK IRYNA,LUTSAK IRYNA,UKR,,,126
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,1,FRESNEDA_RICARDO ADRIAN,FRESNEDA_RICARDO ADRIAN,CUB,Gold,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,2,THOMAS DAMAR,THOMAS DAMAR,ENG,Silver,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,3,KHALED_MOSTFA_ABDELZAHR_MOHAMED OMAR,KHALED_MOSTFA_ABDELZAHR_MOHAMED OMAR,EGY,Bronze,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,3,IONITA FLORIN,IONITA FLORIN,ROU,Bronze,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,5,DUMAN NURZHAN,DUMAN NURZHAN,KAZ,,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,5,GOVAN KIAN,GOVAN KIAN,SCO,,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,5,KENESBAEV AYNZAR,KENESBAEV AYNZAR,UZB,,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Heavy (86-92kg) Youth Men,5,HOVAKIMYAN AVETIK,HOVAKIMYAN AVETIK,ARM,,,127
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,1,ISRAYELYAN ERIK,ISRAYELYAN ERIK,ARM,Gold,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,2,GORDULAVA GOCHA,GORDULAVA GOCHA,GEO,Silver,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,3,MC_EVOY LEE,MC_EVOY LEE,IRL,Bronze,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,3,BIRCHALL NELSON,BIRCHALL NELSON,ENG,Bronze,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,HERRERA_AGUILAR RAUL,HERRERA_AGUILAR RAUL,MEX,,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,AEKPATCHA CHAKHARIN,AEKPATCHA CHAKHARIN,THA,,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,DE_LEON_CASTRO CARLOS_JAMIL,DE_LEON_CASTRO CARLOS_JAMIL,PUR,,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,AHAPOV IVAN,AHAPOV IVAN,UKR,,,128
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,1,ISRAYELYAN ERIK,ISRAYELYAN ERIK,ARM,Gold,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,2,GORDUULAYA GOCHA,GORDUULAYA GOCHA,GEO,Silver,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,3,MC EVOY LEE,MC EVOY LEE,IRL,Bronze,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,3,BIRCHALL NELSON,BIRCHALL NELSON,ENG,Bronze,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,HERRERA_AGUILAR RAUL,HERRERA_AGUILAR RAUL,MEX,,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,AEKPATCHA CHAKHARIN,AEKPATCHA CHAKHARIN,THA,,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,DE LEON_CASTRO CARLOS_JAMIL,DE LEON_CASTRO CARLOS_JAMIL,PUR,,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Light (57-60kg) Youth Men,5,AHAPOV IVAN,AHAPOV IVAN,UKR,,,129
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Pool winner-Light (57-60kg) Youth Men,1,ISRAYELYAN ERIK,ISRAYELYAN ERIK,ARM,Gold,(c)sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),130
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Pool winner-Light (57-60kg) Youth Men,2,GORDULAVA GOCHA,GORDULAVA GOCHA,GEO,Silver,(c)sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),130
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Pool winner-Light (57-60kg) Youth Men,3,MC_EVOY LEE,MC_EVOY LEE,IRL,Bronze,(c)sportdata GmbH & Co KG 2000-2022 (2022-12-01 11:05),130
