event,date,division,page_type,rank,name,name_short,country,medal,previous_rank,points_total,date_raw,date_source,page
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,RAKSAT CHUTHAMAT (THA),RAKSAT CHUTHAMAT,THA,,,,2023-03-26,footer,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,FUERTES_FERNANDEZ LAURA,FUERTES_FERNANDEZ LAURA,ESP,,,,2023-03-26,footer,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,SORRENTINO GIORDANA (ITA),SORRENTINO GIORDANA,ITA,,,,2023-03-26,footer,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,CHEDDAR RABAB,CHEDDAR RABAB,MAR,,,,2023-03-26,footer,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,1,ZAREEN NIKHAT,NIKHAT ZAREEN,IND,Gold,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,2,NGUYEN THI TAM,NGUYEN THI_TAM,VIE,Silver,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,3,VALENCIA VICTORIA INGRIT LORENA,VALENCIA_VICTORIA INGRIT_LORENA,COL,Bronze,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,3,LKHADIRI WASSILA,LKHADIRI WASSILA,FRA,Bronze,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,5,RAKSAT CHUTHAMAT,RAKSAT CHUTHAMAT,THA,,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,5,FUERTES FERNANDEZ LAURA,FUERTES_FERNANDEZ LAURA,ESP,,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,5,SORRENTINO GIORDANA,SORRENTINO GIORDANA,ITA,,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 48-50KG Light Fly,draw_sheet,5,CHEDDAR RABAB,CHEDDAR RABAB,MAR,,,,23.03,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,1,NIKHAT ZAREEN,NIKHAT ZAREEN,IND,Gold,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,2,NGUYEN THI TAM,NGUYEN THI TAM,VIE,Silver,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,3,"VALENCIA, VICTORIA INGRIT LORENA","VALENCIA, VICTORIA INGRIT LORENA",COL,Bronze,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,3,LKHADIRI WASSILA,LKHADIRI WASSILA,FRA,Bronze,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,RAKSAT CHUTHAMAT,RAKSAT CHUTHAMAT,THA,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,FUERTES FERNANDEZ LAURA,FUERTES FERNANDEZ LAURA,ESP,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,SORRENTINO GIORDANA,SORRENTINO GIORDANA,ITA,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,5,CHEDDAR RABAB,CHEDDAR RABAB,MAR,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,1,WU YU,WU YU,CHN,Gold,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,2,CHARAABI SIRINE,CHARAABI SIRINE,ITA,Silver,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,3,APANASOVICH YULIYA,APANASOVICH YULIYA,BLR,Bronze,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,3,KINOSHITA RINKA,KINOSHITA RINKA,JPN,Bronze,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,5,SAKSHI SAKSHI,SAKSHI SAKSHI,IND,,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,5,OYUNTSETSEG YESUGEN,OYUNTSETSEG YESUGEN,MGL,,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,5,TELI ANJANI,TELI ANJANI,NEP,,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 50-52KG Fly,draw_sheet,5,MOULAI ROMANE,MOULAI ROMANE,FRA,,,,2023-03-26,footer,6
