event,date,division,page_type,rank,name,name_short,noc,medal,previous_rank,points_total,date_raw,date_source,page
,,WOMEN'S 48KG RANKINGS,ranking_table,22,Radija GAMA,Radija GAMA,BRA,,20,71.25,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,23,Yi-xuan GUO,Yi-xuan GUO,TPE,,21,56.25,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,23,Nurselen YALGETTEKIN,Nurselen YALGETTEKIN,TUR,,21,56.25,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,25,Nicole DURIKOVA,Nicole DURIKOVA,SVK,,23,22.5,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,26,Ahadi LUKUNGU,Ahadi LUKUNGU,NOR,,24,11.25,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,26,Alexa GOMEZ,Alexa GOMEZ,MEX,,24,11.25,,,2
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,1,Wu YU,Wu YU,CHN,,1,1950.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,2,Buse CAKIROGLU,Buse CAKIROGLU,TUR,,2,1400.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,3,Alua BALKIBEKOVA,Alua BALKIBEKOVA,KAZ,,3,1275.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,4,Zareen NIKHAT,Zareen NIKHAT,IND,,4,750.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,5,Yi-Xuan GUO,Yi-Xuan GUO,TPE,,5,675.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,6,Xinyu QI,Xinyu QI,CHN,,6,600.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,7,Byol An KUM,Byol An KUM,PRK,,7,500.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,8,Feruza KAZAKOVA,Feruza KAZAKOVA,UZB,,8,450.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,9,Pihla KAIVO-OJA,Pihla KAIVO-OJA,FIN,,9,425.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,10,Mungunsaran BALSAN,Mungunsaran BALSAN,MGL,,10,375.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,11,Wassila LKHADIRI,Wassila LKHADIRI,FRA,,11,306.25,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,12,Laura FUERTES FERNANDEZ,Laura FUERTES FERNANDEZ,ESP,,13,300.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,13,Gulsevar GANIEVA,Gulsevar GANIEVA,UZB,,12,262.5,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,14,Romane MOULAI,Romane MOULAI,FRA,,18,175.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,15,Chorong BAK,Chorong BAK,KOR,,14,150.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,16,Xian BAGUIHN,Xian BAGUIHN,PHI,,16,150.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,17,Zhaziya URAKBAYEVA,Zhaziya URAKBAYEVA,KAZ,,17,112.5,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,17,Zhansaya RAKHYMBERDI,Zhansaya RAKHYMBERDI,KAZ,,16,112.5,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,19,Minakshi MINAKSHI,Minakshi MINAKSHI,IND,,x,100.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,19,Guanxia XIONG,Guanxia XIONG,CHN,,18,100.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,21,Noelle HARO,Noelle HARO,USA,,20,75.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,21,Yu-Shan LIU,Yu-Shan LIU,TPE,,20,75.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,21,Lalita CHAINARONG,Lalita CHAINARONG,THA,,20,75.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,21,Rinka KINOSHITA,Rinka KINOSHITA,JPN,,20,75.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,21,Lucia AYARI,Lucia AYARI,ITA,,20,75.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,26,Natalia KUCZEWSKA,Natalia KUCZEWSKA,POL,,25,56.25,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,26,Jennifer LOZANO,Jennifer LOZANO,USA,,25,56.25,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,26,Caroline BARBOSA DE ALMEIDA,Caroline BARBOSA DE ALMEIDA,BRA,,25,56.25,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,29,Danisha MATHIALAGAN,Danisha MATHIALAGAN,SGP,,28,50.0,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,30,Altansetseg LUTSAIKHAN,Altansetseg LUTSAIKHAN,MGL,,30,37.5,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,30,Janarguli BYEISENBYEI,Janarguli BYEISENBYEI,MGL,,29,37.5,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,32,Yuna NISHINAKA,Yuna NISHINAKA,JPN,,31,22.5,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,33,Mckenzie WRIGHT,Mckenzie WRIGHT,CAN,,32,11.25,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,33,Maxi KLOTZER,Maxi KLOTZER,GER,,32,11.25,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,34,Laura MYLLYMÄKI,Laura MYLLYMÄKI,FIN,,32,7.5,,,3
WORLD BOXING,,WOMEN'S 51KG RANKINGS,ranking_table,35,Ahadi LUKUNGU,Ahadi LUKUNGU,NOR,,32,7.5,,,3
