event,date,division,page_type,rank,name,name_short,noc,medal,previous_rank,points_total,date_raw,date_source,page
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 60Kg,draw_sheet,1,Parveen Parveen,Parveen Parveen,IND,Gold,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 65Kg,draw_sheet,1,CHEN NIEN CHIN,CHEN NIEN CHIN,TPE,Gold,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 70Kg,draw_sheet,1,Choudhary Arundhati,Choudhary Arundhati,IND,Gold,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 75Kg,draw_sheet,1,EMMA SUE GREENTREE,EMMA SUE GREENTREE,AUS,Gold,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80Kg,draw_sheet,1,Kaczmarska Agata,Kaczmarska Agata,POL,Gold,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80+Kg,draw_sheet,1,Nupur Nupur,Nupur Nupur,IND,Gold,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 54Kg,draw_sheet,2,SIRINE CHARRABI,SIRINE CHARRABI,ITA,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 57Kg,draw_sheet,2,WU SHIH YI,WU SHIH YI,TPE,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 60Kg,draw_sheet,2,TAGUCHI AYAKA,TAGUCHI AYAKA,JPN,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 65Kg,draw_sheet,2,Burman Dione,Burman Dione,ENG,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 70Kg,draw_sheet,2,Zokirova Aziza,Zokirova Aziza,UZB,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 75Kg,draw_sheet,2,GEMINI MELISSA,GEMINI MELISSA,ITA,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80Kg,draw_sheet,2,Rani Pooja,Rani Pooja,IND,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80+Kg,draw_sheet,2,Sotinboeva Oltinoy,Sotinboeva Oltinoy,UZB,Silver,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 54Kg,draw_sheet,3,Rogalska Wiktoria Beata,Rogalska Wiktoria Beata,POL,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 54Kg,draw_sheet,3,HUANG HSIAO WEN,HUANG HSIAO WEN,TPE,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 57Kg,draw_sheet,3,Sarsenbek Ulzhan,Sarsenbek Ulzhan,KAZ,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 57Kg,draw_sheet,3,Park Ahhyeon,Park Ahhyeon,KOR,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 60Kg,draw_sheet,3,Rygielska Aneta Elzbieta,Rygielska Aneta Elzbieta,POL,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 60Kg,draw_sheet,3,Glynn Elise,Glynn Elise,ENG,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 65Kg,draw_sheet,3,Kang Sukyung,Kang Sukyung,KOR,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 65Kg,draw_sheet,3,Phogat Neeraj,Phogat Neeraj,IND,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 70Kg,draw_sheet,3,Müller Leonie,Müller Leonie,GER,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 70Kg,draw_sheet,3,CHERNOKOLENKO Anastasiia,CHERNOKOLENKO Anastasiia,UKR,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 75Kg,draw_sheet,3,Saewety Saewety,Saewety Saewety,IND,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80Kg,draw_sheet,3,Magauyayeva Diana,Magauyayeva Diana,KAZ,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80+Kg,draw_sheet,3,LOVCHYNSKA Mariia,LOVCHYNSKA Mariia,UKR,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80+Kg,draw_sheet,3,Toktassyn Assel,Toktassyn Assel,KAZ,Bronze,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,1,Jalilov Asilbek,Jalilov Asilbek,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,1,Olimov Samandar,Olimov Samandar,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,1,Sachin Sachin,Sachin Sachin,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,1,NISHIYAMA SHION,NISHIYAMA SHION,JPN,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,1,Hitesh Hitesh,Hitesh Hitesh,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,1,Abdurakhimov Javokhir,Abdurakhimov Javokhir,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,1,Shittu Oladimeji,Shittu Oladimeji,ENG,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,1,Aibaruly Sultanbek,Aibaruly Sultanbek,KAZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,1,Okoh Isaac,Okoh Isaac,ENG,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,1,Mamasoliev Khalimjon,Mamasoliev Khalimjon,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,2,Mandengbam Jadumani Singh,Mandengbam Jadumani Singh,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,2,Bartwal Pawan,Bartwal Pawan,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,2,Seitbek uulu Munarbek,Seitbek uulu Munarbek,KGZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,2,Jamal Abhinash,Jamal Abhinash,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,2,Mursal Nurbek,Mursal Nurbek,KAZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,2,Jarliński Michal,Jarliński Michal,POL,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,2,Ankush Ankush,Ankush Ankush,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,2,Yuldoshev Jasurbek,Yuldoshev Jasurbek,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,2,Tokhirov Nustrabek,Tokhirov Nustrabek,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,2,Narender Narender,Narender Narender,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,3,OMER IZZAC,OMER IZZAC,AUS,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,3,MAKINO SOUSHI,MAKINO SOUSHI,JPN,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,3,Trowbridge Ellis,Trowbridge Ellis,ENG,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,3,YAMAGUCHI RUI,YAMAGUCHI RUI,JPN,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,3,Abdumurodov Dilshod,Abdumurodov Dilshod,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,3,Hewitt William,Hewitt William,ENG,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,3,ALLIEV Elvin,ALLIEV Elvin,UKR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,3,Mukhiddinov Akhamjon,Mukhiddinov Akhamjon,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,3,ZAKHARIEV Yurii,ZAKHARIEV Yurii,UKR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,3,Ismoilov Mukhamadazizbek,Ismoilov Mukhamadazizbek,UZB,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,3,Sumit Sumit,Sumit Sumit,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,3,ILLIUSHIA Pavlo,ILLIUSHIA Pavlo,UKR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,3,MARLON SEVEHON,MARLON SEVEHON,AUS,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,3,Begaliyev Sanzhar-Ali,Begaliyev Sanzhar-Ali,KAZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,3,Kim Daehoon,Kim Daehoon,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,3,Jugnoo Jugnoo,Jugnoo Jugnoo,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,3,Kumar Naveen,Kumar Naveen,IND,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,3,Tutak Adam Jakub,Tutak Adam Jakub,POL,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,3,Saparbay Daniyal,Saparbay Daniyal,KAZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,3,Ju Taeyoung,Ju Taeyoung,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,5,Ograrov Nurzat,Ograrov Nurzat,KAZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,5,Sionniaski Jakub Bogdan,Sionniaski Jakub Bogdan,POL,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,5,Yoon Taegeun,Yoon Taegeun,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,5,Altynbek Nursultan,Altynbek Nursultan,KAZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,5,NABIYEV Yelmir,NABIYEV Yelmir,UKR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,5,Shin Jaeyong,Shin Jaeyong,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,5,Brach Pawel,Brach Pawel,POL,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,5,LIN YU,LIN YU,TPE,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,5,Jang Donghwan,Jang Donghwan,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,5,Nishonov Ikhtiior,Nishonov Ikhtiior,KGZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,5,KAN CHIA WEI,KAN CHIA WEI,TPE,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,5,Kim Joonsu,Kim Joonsu,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,5,OKAZAWA SEWON,OKAZAWA SEWON,JPN,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,5,Kim Hyeontae,Kim Hyeontae,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,5,Aman Konsbekov,Aman Konsbekov,KAZ,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,5,WAKAYA GO,WAKAYA GO,JPN,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,5,RAZHBA Mavtii,RAZHBA Mavtii,UKR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,5,Kim Minseong,Kim Minseong,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,5,LACHLAN LAWSON,LACHLAN LAWSON,AUS,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,5,Jung Hanuel,Jung Hanuel,KOR,,,,Thu 20 Nov 2025,As of line,5
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,5,Tangatar Bekzat,Tangatar Bekzat,KAZ,,,,Thu 20 Nov 2025,As of line,5
