event,date,division,page_type,rank,name,name_short,country,medal,previous_rank,points_total,date_raw,date_source,_page
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,5,SU CHING-WEN,SU CHING-WEN,TPE,,,,25.03,title,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,5,SOLIS_ACOSTA GUADALUPE_ALTAGRACIA,SOLIS_ACOSTA GUADALUPE_ALTAGRACIA,MEX,,,,25.03,title,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,draw_sheet,1,YANG LIU,YANG LIU,CHN,Gold,,,2023-04-09,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,draw_sheet,2,SUWANNAPHENG JANJAEM,SUWANNAPHENG JANJAEM,THA,Silver,,,2023-04-09,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,draw_sheet,3,RYABETS NADEZHDA,RYABETS NADEZHDA,KAZ,Bronze,,,2023-04-09,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,draw_sheet,3,KHAMIDOVA NAVBAKHOR,KHAMIDOVA NAVBAKHOR,UZB,Bronze,,,2023-04-09,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,draw_sheet,5,PINEIRO_AQUINO STEPHANIE,PINEIRO_AQUINO STEPHANIE,PUR,,,,2023-04-09,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,draw_sheet,5,SOARES BEATRIZ,SOARES BEATRIZ,BRA,,,,2023-04-09,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,draw_sheet,5,GOMES_MOREIRA IVANUSA,GOMES_MOREIRA IVANUSA,CPV,,,,2023-04-09,footer,4
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,1,DEMURCHIAN ANASTASIIA,DEMURCHIAN ANASTASIIA,RUS,Gold,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,2,"SCOTT KAYE, FRANCES","SCOTT KAYE, FRANCES",AUS,Silver,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,3,ZHOU PAN,ZHOU PAN,CHN,Bronze,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,3,DOS SANTOS BARBARA,DOS SANTOS BARBARA,BRA,Bronze,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,5,CHAIB ICHRAK,CHAIB ICHRAK,ALG,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,5,DOS_SANTOS ALCINDA_LUCAS,DOS_SANTOS ALCINDA_LUCAS,MOZ,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,5,VASQUEZ_CORTES LUISA_FERNANDA,VASQUEZ_CORTES LUISA_FERNANDA,COL,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,draw_sheet,5,NURSHAYEVA MADINA,NURSHAYEVA MADINA,KAZ,,,,2023-03-26,footer,5
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,1,BORGOHAIN LOVLINA,BORGOHAIN LOVLINA,IND,Gold,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,2,PARKER CAITLIN_ANNE,PARKER CAITLIN_ANNE,AUS,Silver,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,3,LI QIAN,LI QIAN,CHN,Bronze,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,3,KHALZOVA VALENTINA,KHALZOVA VALENTINA,KAZ,Bronze,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,5,GRAMANE RADY_ADOSINDA,GRAMANE RADY_ADOSINDA,MOZ,,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,5,BYLON ATHEYNA,BYLON ATHEYNA,PAN,,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,5,MICHEL DAVINA_MYRHA,MICHEL DAVINA_MYRHA,FRA,,,,2023-03-26,footer,6
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,draw_sheet,5,GUNERI ELIF,GUNERI ELIF,TUR,,,,2023-03-26,footer,6
